publication_ns,interval_end_ns,gap_m,relative_speed_mps,ego_speed_mps,ego_position_m,lead_position_m,lead_speed_mps,published_command_mps2,controller_output_mps2,sampled_gap_m,sampled_relative_speed_mps,sampled_ego_speed_mps,applied_mps2
1280000000,1290000000,58.76477499999997,-1.9250000000000718,26.92500000000007,33.48522500000003,92.25,25.0,1.5,1.5,58.783949999999976,-1.9100000000000712,26.91000000000007,1.5
1290000000,1300000000,58.74544999999997,-1.9400000000000723,26.940000000000072,33.75455000000003,92.5,25.0,1.5,1.5,58.76477499999997,-1.9250000000000718,26.92500000000007,1.5
1300000000,1310000000,58.72597499999997,-1.955000000000073,26.955000000000073,34.02402500000003,92.75,25.0,1.5,1.5,58.74544999999997,-1.9400000000000723,26.940000000000072,1.5
1310000000,1320000000,58.706349999999965,-1.9700000000000735,26.970000000000073,34.293650000000035,93.0,25.0,1.5,1.5,58.72597499999997,-1.955000000000073,26.955000000000073,1.5
1320000000,1330000000,58.68657499999996,-1.985000000000074,26.985000000000074,34.56342500000004,93.25,25.0,1.5,1.5,58.706349999999965,-1.9700000000000735,26.970000000000073,1.5
1330000000,1340000000,58.66664999999996,-2.0000000000000746,27.000000000000075,34.83335000000004,93.5,25.0,1.5,1.5,58.68657499999996,-1.985000000000074,26.985000000000074,1.5
1340000000,1350000000,58.646574999999956,-2.015000000000075,27.015000000000075,35.103425000000044,93.75,25.0,1.5,1.5,58.66664999999996,-2.0000000000000746,27.000000000000075,1.5
1350000000,1360000000,58.62634999999995,-2.0300000000000757,27.030000000000076,35.37365000000005,94.0,25.0,1.5,1.5,58.646574999999956,-2.015000000000075,27.015000000000075,1.5
1360000000,1370000000,58.60597499999995,-2.0450000000000763,27.045000000000076,35.64402500000005,94.25,25.0,1.5,1.5,58.62634999999995,-2.0300000000000757,27.030000000000076,1.5
1370000000,1380000000,58.585449999999945,-2.060000000000077,27.060000000000077,35.914550000000055,94.5,25.0,1.5,1.5,58.60597499999995,-2.0450000000000763,27.045000000000076,1.5
