publication_ns,interval_end_ns,gap_m,relative_speed_mps,ego_speed_mps,ego_position_m,lead_position_m,lead_speed_mps,command_mps2,sampled_gap_m,sampled_relative_speed_mps,sampled_ego_speed_mps,applied_mps2
2050000000,2060000000,56.95730538428837,-2.7494533896393314,27.74945338963933,54.570206618694215,111.5,25.0,0.33317766633970036,56.984781624866606,-2.7457947260078903,27.74579472600789,0.34938172374167786
2060000000,2070000000,56.929793381305785,-2.7529472068767475,27.752947206876748,54.8477527496463,111.75,25.0,0.3172497873730813,56.95730538428837,-2.7494533896393314,27.74945338963933,0.33317766633970036
2070000000,2080000000,56.9022472503537,-2.7562789835401453,27.756278983540145,55.12533140197107,112.0,25.0,0.30159375159463364,56.929793381305785,-2.7529472068767475,27.752947206876748,0.3172497873730813
2080000000,2090000000,56.87466859802893,-2.759451481413876,27.759451481413876,55.402940996472786,112.25,25.0,0.2862052910170445,56.9022472503537,-2.7562789835401453,27.756278983540145,0.30159375159463364
2090000000,2100000000,56.847059003527214,-2.7624674189298233,27.762467418929823,55.68057998092664,112.5,25.0,0.27108020387119014,56.87466859802893,-2.759451481413876,27.759451481413876,0.2862052910170445
2100000000,2110000000,56.81942001907336,-2.765329471839994,27.765329471839994,55.95824682965523,112.75,25.0,0.2562143535805781,56.847059003527214,-2.7624674189298233,27.762467418929823,0.27108020387119014
2110000000,2120000000,56.79175317034477,-2.7680402738787073,27.768040273878707,56.2359400431117,113.0,25.0,0.24160366775168596,56.81942001907336,-2.765329471839994,27.765329471839994,0.2562143535805781
2120000000,2130000000,56.7640599568883,-2.770602417414512,27.770602417414512,56.51365814746923,113.25,25.0,0.22724413717989966,56.79175317034477,-2.7680402738787073,27.768040273878707,0.24160366775168596
2130000000,2140000000,56.73634185253077,-2.7730184540920284,27.77301845409203,56.79139969421701,113.5,25.0,0.21313181487087185,56.7640599568883,-2.770602417414512,27.770602417414512,0.22724413717989966
2140000000,2150000000,56.70860030578299,-2.775290895463826,27.775290895463826,57.0691632597624,113.75,25.0,0.1992628150770197,56.73634185253077,-2.7730184540920284,27.77301845409203,0.21313181487087185
2150000000,2160000000,56.6808367402376,-2.7774222136125353,27.777422213612535,57.34694744503928,114.0,25.0,0.18563331234894598,56.70860030578299,-2.775290895463826,27.775290895463826,0.1992628150770197
2160000000,2170000000,56.65305255496072,-2.7794148417633053,27.779414841763305,57.62475087512253,114.25,25.0,0.172239540601538,56.6808367402376,-2.7774222136125353,27.777422213612535,0.18563331234894598
2170000000,2180000000,56.62524912487747,-2.7812711748867933,27.781271174886793,57.902572198848425,114.5,25.0,0.15907779219454987,56.65305255496072,-2.7794148417633053,27.779414841763305,0.172239540601538
2180000000,2190000000,56.597427801151575,-2.7829935702928097,27.78299357029281,58.18041008844096,114.75,25.0,0.14614441702739667,56.62524912487747,-2.7812711748867933,27.781271174886793,0.15907779219454987
2190000000,2200000000,56.56958991155904,-2.7845843482147536,27.784584348214754,58.45826323914395,115.0,25.0,0.1334358216479532,56.597427801151575,-2.7829935702928097,27.78299357029281,0.14614441702739667
2200000000,2210000000,56.54173676085605,-2.7860457923850284,27.78604579238503,58.73613036885889,115.25,25.0,0.120948468375214,56.56958991155904,-2.7845843482147536,27.784584348214754,0.1334358216479532
